video_file,camera_file,frame_count,mobile_cell_count,stationary_cell_count,total_cells,motility_ratio,count_date_yyyy_mm_dd,start_date_yyyy_mm_dd,species,site,culture,experiment,well,days_from_start,toxin_exposure,cu_ug_l,ntu,tile,tile_count,lux_exposure,comment,collection_date,year,season,collection_site,preparation,release,non_mobile_count,video_file_name,experiment_chr,experiment_block,experiment_suffix,species_std,spm_material,brake_type,brake_class,log_ntu,lux_f
C1821,20241231_C1821_clip.MP4,504,36675,53968,90643,0.40460929139591584,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24223,8,CONTROL,0,0,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,53968,C1821,10.2,10,2,L. digitata,Control,Control,NA,0,0
C1822,20241231_C1822_clip.MP4,504,47190,71331,118521,0.3981572885817703,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24224,8,SPM,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,71331,C1822,10.2,10,2,L. digitata,Field SPM,NA,NA,2.0043213737826426,0
C1823,20241231_C1823_clip.MP4,504,34930,55014,89944,0.38835275282397935,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24225,8,SPM,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,55014,C1823,10.2,10,2,L. digitata,Field SPM,NA,NA,2.0043213737826426,0
C1824,20241231_C1824_clip.MP4,504,41076,60282,101358,0.4052566151660451,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24226,8,SPM,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,60282,C1824,10.2,10,2,L. digitata,Field SPM,NA,NA,2.0043213737826426,0
C1825,20241231_C1825_clip.MP4,504,35828,54135,89963,0.3982526149639296,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24231,8,PEAT,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,54135,C1825,10.2,10,2,L. digitata,Organic,NA,NA,2.0043213737826426,0
C1826,20241231_C1826_clip.MP4,504,36804,57879,94683,0.38870758214251766,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24232,8,PEAT,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,57879,C1826,10.2,10,2,L. digitata,Organic,NA,NA,2.0043213737826426,0
C1827,20241231_C1827_clip.MP4,504,43770,65389,109159,0.40097472494251507,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24233,8,PEAT,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,65389,C1827,10.2,10,2,L. digitata,Organic,NA,NA,2.0043213737826426,0
C1828,20241231_C1828_clip.MP4,504,23322,39271,62593,0.37259757480868466,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24234,8,COIR,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,39271,C1828,10.2,10,2,L. digitata,Organic,NA,NA,2.0043213737826426,0
C1829,20241231_C1829_clip.MP4,504,39819,64418,104237,0.3820044705814634,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24235,8,COIR,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,64418,C1829,10.2,10,2,L. digitata,Organic,NA,NA,2.0043213737826426,0
C1830,20241231_C1830_clip.MP4,504,35298,59109,94407,0.37389176650036543,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24236,8,COIR,0,100,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,59109,C1830,10.2,10,2,L. digitata,Organic,NA,NA,2.0043213737826426,0
