Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,
Sample,28/08/2023 11:05,23,,,12172392,18.552433,3368948,1.099649,0.5661,-81.349998,0.453999,,1.365881,,0.907998,
Sample,28/08/2023 11:05,23,,,12172370,18.552684,3375294,1.101735,0.7354,-79.580002,0.593222,,1.393713,,1.186444,
Sample,28/08/2023 11:05,23,,,12172331,18.553129,3365330,1.098459,0.7056,-79.099998,0.568716,,1.349954,,1.137432,
Sample,28/08/2023 11:05,23,,,12172295,18.55354,3358991,1.096374,0.612,-79.830002,0.491745,,1.321939,,0.983489,
Sample,28/08/2023 11:05,23,9311789,5.105092,12172290,18.553597,3379331,1.103063,0.5907,-78.220001,0.474229,,1.411351,,0.948457,
Sample,28/08/2023 11:05,23,,,12172217,18.55443,3373561,1.101165,0.8357,-77.909996,0.675703,,1.386126,,1.351406,
Sample,28/08/2023 11:05,23,,,12172195,18.554681,3402916,1.110819,0.7759,-78.779999,0.626527,,1.513395,,1.253054,
Sample,28/08/2023 11:05,23,,,12172191,18.554727,3437844,1.122307,0.6966,-79.770004,0.561315,,1.661698,,1.12263,
Sample,28/08/2023 11:05,23,,,12172208,18.554533,3451483,1.126793,0.6546,-79.400002,0.526776,,1.718798,,1.053553,
Sample,28/08/2023 11:05,23,,,12172176,18.554898,3469465,1.132708,0.5784,-80.190002,0.464114,,1.793452,,0.928228,
Sample,28/08/2023 11:05,23,,,12172159,18.555092,3471781,1.133469,0.5746,-80.629997,0.460989,,1.803018,,0.921978,
Sample,28/08/2023 11:05,23,,,12172179,18.554864,3469891,1.132848,0.523,-79.849998,0.418556,,1.795213,,0.837112,
Sample,28/08/2023 11:05,23,,,12172199,18.554636,3492934,1.140428,0.5795,-78.729996,0.465018,,1.8899,,0.930037,
Sample,28/08/2023 11:05,23,,,12172214,18.554465,3476687,1.135083,0.8642,-79.790001,0.69914,,1.823246,,1.39828,
Sample,28/08/2023 11:05,23,,,12172302,18.55346,3501615,1.143283,0.7074,-79.889999,0.570196,,1.925313,,1.140393,
Sample,28/08/2023 11:05,23,,,12172472,18.55152,3492721,1.140358,0.6493,-80.720001,0.522418,,1.889029,,1.044836,
Sample,28/08/2023 11:05,23,,,12172546,18.550676,3517722,1.148582,0.7412,-81.229996,0.597991,,1.990668,,1.195983,
Sample,28/08/2023 11:05,23,,,12172526,18.550904,3523501,1.150483,0.7969,-80.150002,0.643796,,2.01401,,1.287592,
Sample,28/08/2023 11:05,23,,,12172481,18.551418,3531813,1.153218,0.6552,-78.490005,0.52727,,2.04749,,1.05454,
Sample,28/08/2023 11:05,23,,,12172453,18.551737,3540309,1.156013,1.0967,-78.400002,0.890335,,2.081599,,1.780669,
Sample,28/08/2023 11:05,23,,,12172402,18.552319,3531221,1.153023,0.8819,-77.419998,0.713695,,2.045109,,1.427391,
Sample,28/08/2023 11:05,23,,,12172369,18.552696,3569652,1.165667,0.5811,-79.75,0.466334,,2.19859,,0.932668,
Sample,28/08/2023 11:05,23,,,12172379,18.552582,3546026,1.157894,0.626,-79.300003,0.503257,,2.10449,,1.006515,
Sample,28/08/2023 11:05,23,,,12172361,18.552787,3561531,1.162995,0.7626,-79.059998,0.61559,,2.166333,,1.231179,
Sample,28/08/2023 11:05,23,,,12172344,18.552981,3580174,1.169129,0.7183,-79.940002,0.57916,,2.240253,,1.15832,
Sample,28/08/2023 11:05,23,,,12172329,18.553152,3578787,1.168673,0.7027,-81.110001,0.566331,,2.23477,,1.132663,
Sample,28/08/2023 11:05,23,,,12172324,18.553209,3601236,1.17606,0.7366,-81.290001,0.594209,,2.323229,,1.188417,
Sample,28/08/2023 11:05,23,,,12172337,18.553061,3601025,1.17599,0.6179,-79.879997,0.496596,,2.3224,,0.993193,
Sample,28/08/2023 11:05,23,,,12172361,18.552787,3618369,1.181698,0.6423,-80.129997,0.516662,,2.390336,,1.033323,
