HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,09/10/2024 10:59:55,23,9365985,5.403055,8388478,0.038692,12593799,13.801837,3184756,1.039094,1606.699951,1454.400024,1316.257541,,0.472077,,2632.515137,
Sample,09/10/2024 10:59:56,23,9365989,5.403077,8388479,0.038698,12591167,13.831288,3184830,1.039118,1584.099976,1403.599976,1273.318296,,0.472486,,2546.636475,
Sample,09/10/2024 10:59:57,23,9366000,5.403137,8388486,0.038736,12588798,13.857797,3184761,1.039095,1582.000000,1413.300049,1281.517379,,0.472105,,2563.034668,
Sample,09/10/2024 10:59:58,23,9366024,5.403269,8388485,0.038731,12586659,13.881733,3184734,1.039086,1577.400024,1360.500000,1236.887615,,0.471955,,2473.775146,
Sample,09/10/2024 10:59:59,23,9366028,5.403291,8388478,0.038692,12584791,13.902637,3184738,1.039088,1559.699951,1367.699951,1242.973445,,0.471978,,2485.946777,
Sample,09/10/2024 11:00:00,23,9366021,5.403253,8388482,0.038714,12583228,13.920128,3184715,1.039080,1563.500000,1373.800049,1248.129613,,0.471850,,2496.259277,
Sample,09/10/2024 11:00:01,23,9366044,5.403379,8388481,0.038709,12581992,13.933961,3184758,1.039094,1581.599976,1388.800049,1260.808511,,0.472088,,2521.616943,
Sample,09/10/2024 11:00:02,23,9366042,5.403368,8388477,0.038687,12580996,13.945107,3184702,1.039076,1593.599976,1360.800049,1237.141234,,0.471778,,2474.282471,
Sample,09/10/2024 11:00:03,23,9366056,5.403445,8388481,0.038709,12580205,13.953960,3184502,1.039010,1562.800049,1330.800049,1211.783437,,0.470672,,2423.566895,
Sample,09/10/2024 11:00:04,23,9366067,5.403505,8388478,0.038692,12579704,13.959567,3184503,1.039010,1546.099976,1302.800049,1188.116160,,0.470678,,2376.232422,
Sample,09/10/2024 11:00:05,23,9366089,5.403626,8388477,0.038687,12579421,13.962734,3184562,1.039030,1545.500000,1322.900024,1205.105863,,0.471004,,2410.211670,
