HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,16/10/2024 16:19:20,23,9357715,5.357587,8388478,0.038692,12681822,12.817258,3120598,1.018008,108.509995,-54.629997,89.221020,,0.090401,,178.442047,
Sample,16/10/2024 16:19:21,23,9357703,5.357521,8388481,0.038709,12682449,12.810246,3120591,1.018006,109.540001,-53.090004,90.068040,,0.090356,,180.136078,
Sample,16/10/2024 16:19:22,23,9357681,5.357400,8388483,0.038720,12683075,12.803245,3120652,1.018026,109.409996,-53.900002,89.961131,,0.090749,,179.922256,
Sample,16/10/2024 16:19:23,23,9357667,5.357323,8388483,0.038720,12683730,12.795920,3120791,1.018072,108.959999,-50.549999,89.591079,,0.091646,,179.182159,
Sample,16/10/2024 16:19:24,23,9357646,5.357208,8388481,0.038709,12684400,12.788426,3120684,1.018037,109.009995,-54.240002,89.632192,,0.090956,,179.264389,
Sample,16/10/2024 16:19:25,23,9357650,5.357230,8388476,0.038681,12685096,12.780642,3120656,1.018027,109.360001,-52.909996,89.920017,,0.090775,,179.840042,
Sample,16/10/2024 16:19:26,23,9357616,5.357043,8388480,0.038703,12685803,12.772735,3120767,1.018064,110.759995,-52.870003,91.071294,,0.091491,,182.142593,
Sample,16/10/2024 16:19:27,23,9357596,5.356933,8388479,0.038698,12686526,12.764649,3120890,1.018104,111.000000,-51.480000,91.268661,,0.092284,,182.537323,
Sample,16/10/2024 16:19:28,23,9357600,5.356955,8388478,0.038692,12687294,12.756060,3120722,1.018049,111.269997,-51.579998,91.490691,,0.091201,,182.981384,
Sample,16/10/2024 16:19:29,23,9357590,5.356900,8388478,0.038692,12688044,12.747672,3120824,1.018083,110.540001,-51.709999,90.890384,,0.091859,,181.780762,
Sample,16/10/2024 16:19:30,23,9357561,5.356741,8388481,0.038709,12688811,12.739094,3120889,1.018104,110.430008,-49.829998,90.799932,,0.092278,,181.599869,
Sample,16/10/2024 16:19:31,23,9357537,5.356609,8388478,0.038692,12689448,12.731970,3120918,1.018114,110.610001,-49.700001,90.947948,,0.092465,,181.895889,
Sample,16/10/2024 16:19:32,23,9357544,5.356647,8388480,0.038703,12689950,12.726355,3120985,1.018136,111.550003,-51.329998,91.720953,,0.092897,,183.441910,
Sample,16/10/2024 16:19:33,23,9357518,5.356504,8388481,0.038709,12690373,12.721625,3121020,1.018147,111.849998,-52.650002,91.967652,,0.093122,,183.935303,
Sample,16/10/2024 16:19:34,23,9357504,5.356427,8388483,0.038720,12690701,12.717956,3121264,1.018227,111.889999,-49.810001,92.000547,,0.094695,,184.001099,
Sample,16/10/2024 16:19:35,23,9357468,5.356229,8388481,0.038709,12691062,12.713919,3121056,1.018159,111.490005,-51.859997,91.671614,,0.093354,,183.343231,
Sample,16/10/2024 16:19:36,23,9357461,5.356191,8388482,0.038714,12691435,12.709747,3121091,1.018170,111.290001,-50.829998,91.507142,,0.093580,,183.014282,
Sample,16/10/2024 16:19:37,23,9357471,5.356246,8388476,0.038681,12691885,12.704714,3121115,1.018178,110.809998,-51.529999,91.112414,,0.093735,,182.224823,
Sample,16/10/2024 16:19:38,23,9357422,5.355976,8388483,0.038720,12692349,12.699525,3121240,1.018219,110.740005,-51.060001,91.054856,,0.094540,,182.109711,
Sample,16/10/2024 16:19:39,23,9357418,5.355954,8388480,0.038703,12692825,12.694201,3121339,1.018252,110.630005,-50.829998,90.964398,,0.095178,,181.928802,
Sample,16/10/2024 16:19:40,23,9357397,5.355839,8388484,0.038725,12693269,12.689235,3121239,1.018219,110.090004,-50.799999,90.520331,,0.094534,,181.040665,
Sample,16/10/2024 16:19:41,23,9357414,5.355932,8388481,0.038709,12693644,12.685041,3121361,1.018259,109.830002,-51.570000,90.306520,,0.095319,,180.613037,
Sample,16/10/2024 16:19:42,23,9357374,5.355712,8388481,0.038709,12693897,12.682212,3121417,1.018278,109.860001,-51.909996,90.331190,,0.095680,,180.662384,
Sample,16/10/2024 16:19:43,23,9357353,5.355597,8388481,0.038709,12694126,12.679651,3121434,1.018283,110.340004,-51.770000,90.725917,,0.095789,,181.451828,
Sample,16/10/2024 16:19:44,23,9357335,5.355498,8388482,0.038714,12694222,12.678577,3121461,1.018292,110.650002,-52.690002,90.980842,,0.095963,,181.961685,
Sample,16/10/2024 16:19:45,23,9357341,5.355531,8388480,0.038703,12694296,12.677749,3121495,1.018303,110.730003,-53.079998,91.046631,,0.096182,,182.093262,
Sample,16/10/2024 16:19:46,23,9357318,5.355405,8388480,0.038703,12694357,12.677067,3121511,1.018308,110.369995,-54.059998,90.750580,,0.096285,,181.501160,
Sample,16/10/2024 16:19:47,23,9357300,5.355306,8388484,0.038725,12694407,12.676508,3121566,1.018326,109.330002,-50.889999,89.895348,,0.096639,,179.790695,
